QUALITY_SERVICE,NAME,ORG_CODE,ACH_DATE,IND_CODE,FIELD_NAME,VALUE,DEFAULT_VALUES_USED,SUBMIT_USER_ID,SUBMIT_DATE,SUBMIT_TIME,LAST_SUBMISSION
NCD2425,Network Contract DES 2024/25,A81001,20240930,CAN04,FAECIMMDEC,14,None,cro-processor,05/10/2024,19:36:07,Y
NCD2425,Network Contract DES 2024/25,A81001,20240930,HI21,Number of patients recorded as having a diagnosis of autism.,10107,None,cro-processor,05/10/2024,19:36:07,Y
NCD2425,Network Contract DES 2024/25,A81001,20240930,SMR01A,NOMEDERR1,3409,None,cro-processor,05/10/2024,19:36:07,Y
NCD2425,Network Contract DES 2024/25,A81001,20240930,SMR01C,STRMEDRVDC,6022,None,cro-processor,05/10/2024,19:36:07,Y
NCD2425,Network Contract DES 2024/25,A81001,20240930,SMR01C,"Total number of patients using potentially addictive medicines, defined as patients falling into either one or both of the following sub-cohorts: 1.Patients with 2 or more prescriptions over a 3-month* period (both of which must have occurred after the quality service start date) for any of the following four classes of medicine: a.Gabapentinoids. b.Benzodiazepines. c.Z-drugs. d.Any oral or transdermal opioid other than:i.Weak opioids (Codeine, Dihydrocodeine, Meptazinol).ii.Heroin substitutes (including Methadone, Buprenorphine). 2.Patients with a single prescription for an oral or transdermal opioid with > 120 mg morphine equivalent",18833,None,cro-processor,05/10/2024,19:36:07,Y
NCD2425,Network Contract DES 2024/25,A81002,20240930,CAN04,FAECIMMDEC,2919,None,cro-processor,05/10/2024,19:36:09,Y
NCD2425,Network Contract DES 2024/25,A81002,20240930,SMR01A,NOMEDERR1,17498,None,cro-processor,05/10/2024,19:36:09,Y
NCD2425,Network Contract DES 2024/25,A81002,20240930,SMR01B,SEVFRAIL2,7324,None,cro-processor,05/10/2024,19:36:09,Y
NCD2425,Network Contract DES 2024/25,A81002,20240930,SMR01B,Total number of patients recorded on the GP system as living with severe frailty,325,None,cro-processor,05/10/2024,19:36:09,Y
NCD2425,Network Contract DES 2024/25,A81002,20240930,SMR01D,Number of permanent care home residents aged 18 years or over (patients recorded as living in a residential home or nursing home and not subsequently recorded as being temporary care home residents).,772,None,cro-processor,05/10/2024,19:36:09,Y
NCD2425,Network Contract DES 2024/25,A81002,20240930,SMR01D,STRMEDRVDC,10127,None,cro-processor,05/10/2024,19:36:09,Y
NCD2425,Network Contract DES 2024/25,A81002,20240930,SMR03,Number of patients prescribed a direct-acting oral anticoagulant (DOAC) on or after the Quality Service Start Date and up to and including the reporting period end date.,1411,None,cro-processor,05/10/2024,19:36:09,Y
NCD2425,Network Contract DES 2024/25,A81004,20240930,CAN04,GICANREF,7310,None,cro-processor,05/10/2024,19:38:08,Y
NCD2425,Network Contract DES 2024/25,A81004,20240930,HI03,HLTHAPDEC,13478,None,cro-processor,05/10/2024,19:38:08,Y
NCD2425,Network Contract DES 2024/25,A81004,20240930,HI03,LD_DAT,8113,None,cro-processor,05/10/2024,19:38:08,Y
